customer_id,customer_name,dob,phone,segment,branch_id,rm_id,record_effective_date,source_update_date
1,Tran Thi/Van Tuan,1998-09-07,0968353204,Mass,5,17,2020-10-09,2020-10-09
2,Bui Thi/Van Anh,1997-05-23,0933978249,Priority Elite,12,41,2024-09-10,2024-09-10
3,Tran Thi/Van Minh,2002-10-03,0931682744,Mass,11,37,2025-01-18,2025-01-18
4,Do Thi/Van Anh,1991-11-14,0958718453,Mass,6,20,2022-06-13,2022-06-13
5,Pham Thi/Van Binh,1975-10-22,0975228535,Mass,10,32,2019-10-11,2019-10-11
6,Do Thi/Van Giang,1970-10-05,0932162965,Priority Elite,11,39,2021-12-21,2021-12-21
7,Do Thi/Van Yen,1983-12-25,0936998038,Priority,4,14,2022-06-30,2022-06-30
8,Dang Thi/Van Oanh,1984-08-26,0940158366,Mass,9,30,2019-09-20,2019-09-20
9,Vu Thi/Van Anh,1991-05-23,0910965138,Upper Mass,9,29,2019-10-18,2019-10-18
10,Nguyen Thi/Van Kien,1968-01-10,0941944441,Mass,1,3,2022-02-14,2022-02-14
11,Bui Thi/Van Huong,1989-03-10,0986644106,Priority Elite,3,11,2025-06-18,2025-06-18
12,Bui Thi/Van Kien,2000-03-13,0923009833,Mass,8,27,2023-11-01,2023-11-01
13,Vu Thi/Van Quang,1983-06-11,0997705310,Mass,8,28,2020-02-08,2020-02-08
14,Nguyen Thi/Van Phuong,1997-09-01,0935529407,Mass,6,19,2025-01-05,2025-01-05
15,Bui Thi/Van Giang,1983-12-05,0920117988,Mass,3,10,2023-12-21,2023-12-21
16,Do Thi/Van Dung,1967-04-09,0941726318,Priority Elite,11,36,2020-11-12,2020-11-12
17,Dang Thi/Van Thao,1986-08-05,0932097220,Priority,4,13,2023-04-02,2023-04-02
18,Nguyen Thi/Van Phuong,1976-11-24,0984593961,Mass,8,27,2024-06-16,2024-06-16
19,Le Thi/Van Huong,1978-04-24,0982772208,Upper Mass,4,12,2019-09-07,2019-09-07
20,Vu Thi/Van Binh,1967-04-02,0981286543,Upper Mass,10,35,2020-10-06,2020-10-06
21,Nguyen Thi/Van Trang,1968-08-05,0941568532,Upper Mass,3,9,2023-07-12,2023-07-12
22,Tran Thi/Van Van,1976-01-17,0966267415,Upper Mass,10,32,2025-07-18,2025-07-18
23,Ngo Thi/Van Trang,1979-03-12,0952169044,Upper Mass,5,16,2021-09-04,2021-09-04
24,Hoang Thi/Van Phuong,1970-11-15,0919736572,Mass,11,38,2019-02-08,2019-02-08
25,Bui Thi/Van Yen,1990-04-04,0977898694,Upper Mass,2,6,2021-12-22,2021-12-22
26,Le Thi/Van Oanh,2004-07-07,0931172421,Mass,2,6,2023-11-30,2023-11-30
27,Do Thi/Van Minh,1992-06-09,0984437458,Upper Mass,11,36,2022-05-11,2022-05-11
28,Tran Thi/Van Giang,1976-11-12,0930863865,Upper Mass,2,6,2022-01-20,2022-01-20
29,Hoang Thi/Van Yen,1974-06-13,0995125977,Mass,12,41,2021-12-17,2021-12-17
30,Do Thi/Van Thao,1976-04-07,0947135391,Upper Mass,1,1,2019-06-30,2019-06-30
31,Nguyen Thi/Van Nam,1999-08-05,0931687165,Priority Elite,3,11,2023-12-15,2023-12-15
32,Do Thi/Van Quang,1990-02-28,0930005727,Mass,1,1,2025-02-12,2025-02-12
33,Nguyen Thi/Van Oanh,1991-02-17,0915614174,Mass,9,29,2022-06-16,2022-06-16
34,Vu Thi/Van Binh,1981-01-19,0923796726,Mass,4,14,2022-12-19,2022-12-19
35,Do Thi/Van Quang,1992-11-03,0941774346,Priority,12,40,2020-10-27,2020-10-27
36,Le Thi/Van Quang,1966-02-11,0965259205,,3,11,2021-10-13,2021-10-13
37,Hoang Thi/Van Ha,2000-04-27,0915197528,Mass,12,40,2024-04-11,2024-04-11
38,Pham Thi/Van Huong,2001-08-18,0940547349,Mass,8,27,2021-07-02,2021-07-02
39,Nguyen Thi/Van Huong,1982-11-16,0947463522,Priority,6,20,2022-12-09,2022-12-09
40,Do Thi/Van Phuong,1995-06-26,0925480907,Priority Elite,9,30,2021-12-05,2021-12-05
41,Le Thi/Van Van,1976-11-28,0956397338,Upper Mass,1,1,2022-07-08,2022-07-08
42,Dang Thi/Van Yen,1987-12-11,0935511941,Priority,2,7,2021-11-09,2021-11-09
43,Nguyen Thi/Van Quang,1965-01-28,0936445607,Upper Mass,9,31,2023-01-31,2023-01-31
44,Dang Thi/Van Chi,1994-10-18,0926726926,Mass,6,21,2022-05-15,2022-05-15
45,Do Thi/Van Minh,1994-12-01,0949682169,Mass,7,24,2025-03-20,2025-03-20
46,Le Thi/Van Huong,1983-11-11,0933357554,Upper Mass,11,39,2025-05-20,2025-05-20
47,Hoang Thi/Van Phuong,1989-07-31,0967698610,Mass,1,3,2025-07-03,2025-07-03
48,Ngo Thi/Van Nam,1985-11-10,0978608612,Upper Mass,8,27,2024-04-22,2024-04-22
49,Le Thi/Van Chi,1977-09-24,0954988206,Upper Mass,9,31,2020-01-18,2020-01-18
50,Pham Thi/Van Minh,1975-01-29,0942862209,Mass,4,12,2024-04-30,2024-04-30
51,Ngo Thi/Van Chi,1985-06-06,0961536717,Upper Mass,7,23,2024-07-17,2024-07-17
